"Step","mean_episodes_rewards","random_agent_run_1 - mean_episodes_rewards__MIN","random_agent_run_1 - mean_episodes_rewards__MAX"
"2200","-1156.953323667879","-1156.953323667879","-1156.953323667879"
"4400","-1214.8830707094955","-1214.8830707094955","-1214.8830707094955"
"6600","-1241.595947999251","-1241.595947999251","-1241.595947999251"
"8800","-1087.0193677592242","-1087.0193677592242","-1087.0193677592242"
"11000","-1293.309398435901","-1293.309398435901","-1293.309398435901"
"13200","-1281.70340199607","-1281.70340199607","-1281.70340199607"
"15400","-1171.5765779070757","-1171.5765779070757","-1171.5765779070757"
"17600","-1308.4788203148191","-1308.4788203148191","-1308.4788203148191"
"19800","-1104.8173865026629","-1104.8173865026629","-1104.8173865026629"
"22000","-1356.5499226844731","-1356.5499226844731","-1356.5499226844731"
"24200","-1195.6597215180761","-1195.6597215180761","-1195.6597215180761"
"26400","-1246.868635378997","-1246.868635378997","-1246.868635378997"
"28600","-1168.8077827092463","-1168.8077827092463","-1168.8077827092463"
"30800","-1159.174300998335","-1159.174300998335","-1159.174300998335"
"33000","-1165.9187040794832","-1165.9187040794832","-1165.9187040794832"
"35200","-1230.6376655152105","-1230.6376655152105","-1230.6376655152105"
"37400","-1213.5074970730477","-1213.5074970730477","-1213.5074970730477"
"39600","-1207.1017487756174","-1207.1017487756174","-1207.1017487756174"
"41800","-1243.6521827403603","-1243.6521827403603","-1243.6521827403603"
"44000","-1327.6376696188324","-1327.6376696188324","-1327.6376696188324"
"46200","-1324.5085072870584","-1324.5085072870584","-1324.5085072870584"
"48400","-1217.5865355694236","-1217.5865355694236","-1217.5865355694236"
"50600","-1302.5525469013553","-1302.5525469013553","-1302.5525469013553"
"52800","-1187.370442879551","-1187.370442879551","-1187.370442879551"
"55000","-1246.9750869046973","-1246.9750869046973","-1246.9750869046973"
"57200","-1273.6998817513631","-1273.6998817513631","-1273.6998817513631"
"59400","-1302.626163291306","-1302.626163291306","-1302.626163291306"
"61600","-1250.9920324051802","-1250.9920324051802","-1250.9920324051802"
"63800","-1148.6350132883426","-1148.6350132883426","-1148.6350132883426"
"66000","-1110.7282244689113","-1110.7282244689113","-1110.7282244689113"
"68200","-1156.1032505383018","-1156.1032505383018","-1156.1032505383018"
"70400","-1347.1333248389894","-1347.1333248389894","-1347.1333248389894"
"72600","-1277.7349874187473","-1277.7349874187473","-1277.7349874187473"
"74800","-1177.455447673741","-1177.455447673741","-1177.455447673741"
"77000","-1144.303426372266","-1144.303426372266","-1144.303426372266"
"79200","-1345.2908814953316","-1345.2908814953316","-1345.2908814953316"
"81400","-1333.8251806007154","-1333.8251806007154","-1333.8251806007154"
"83600","-1145.2963882946235","-1145.2963882946235","-1145.2963882946235"
"85800","-1333.408647050894","-1333.408647050894","-1333.408647050894"
"88000","-1331.583725568795","-1331.583725568795","-1331.583725568795"
"90200","-1164.0348282986158","-1164.0348282986158","-1164.0348282986158"
"92400","-1178.859945636636","-1178.859945636636","-1178.859945636636"
"94600","-1129.5285642787387","-1129.5285642787387","-1129.5285642787387"
"96800","-1210.7161191162768","-1210.7161191162768","-1210.7161191162768"
"99000","-1267.1827018732672","-1267.1827018732672","-1267.1827018732672"
"101200","-1177.7879750063503","-1177.7879750063503","-1177.7879750063503"
"103400","-1388.643877963808","-1388.643877963808","-1388.643877963808"
"105600","-1127.1995335270478","-1127.1995335270478","-1127.1995335270478"
"107800","-1319.7829254756825","-1319.7829254756825","-1319.7829254756825"
"110000","-1235.8388701007966","-1235.8388701007966","-1235.8388701007966"
"112200","-1205.634284500082","-1205.634284500082","-1205.634284500082"
"114400","-1142.3531894806017","-1142.3531894806017","-1142.3531894806017"
"116600","-1245.922472467619","-1245.922472467619","-1245.922472467619"
"118800","-1158.2411994817749","-1158.2411994817749","-1158.2411994817749"
"121000","-1223.0304250232045","-1223.0304250232045","-1223.0304250232045"
"123200","-1173.1466108171483","-1173.1466108171483","-1173.1466108171483"
"125400","-1307.7853191814881","-1307.7853191814881","-1307.7853191814881"
"127600","-1263.2317914521036","-1263.2317914521036","-1263.2317914521036"
"129800","-1259.6357270206304","-1259.6357270206304","-1259.6357270206304"
"132000","-1018.0281471378723","-1018.0281471378723","-1018.0281471378723"
"134200","-1300.0207140974867","-1300.0207140974867","-1300.0207140974867"
"136400","-1025.3221556861008","-1025.3221556861008","-1025.3221556861008"
"138600","-1159.0204217780413","-1159.0204217780413","-1159.0204217780413"
"140800","-1072.542126222892","-1072.542126222892","-1072.542126222892"
"143000","-1088.795259715118","-1088.795259715118","-1088.795259715118"
"145200","-1204.423512347921","-1204.423512347921","-1204.423512347921"
"147400","-1361.6486342151434","-1361.6486342151434","-1361.6486342151434"
"149600","-1365.581163373068","-1365.581163373068","-1365.581163373068"
"151800","-1278.5004388133689","-1278.5004388133689","-1278.5004388133689"
"154000","-1299.024192377382","-1299.024192377382","-1299.024192377382"
"156200","-1359.1294097736043","-1359.1294097736043","-1359.1294097736043"
"158400","-1220.3803301210255","-1220.3803301210255","-1220.3803301210255"
"160600","-1196.5778281098706","-1196.5778281098706","-1196.5778281098706"
"162800","-1266.9925041057922","-1266.9925041057922","-1266.9925041057922"
"165000","-1292.4167487939567","-1292.4167487939567","-1292.4167487939567"
"167200","-1287.075588155811","-1287.075588155811","-1287.075588155811"
"169400","-1203.2647370468244","-1203.2647370468244","-1203.2647370468244"
"171600","-1338.1171314372375","-1338.1171314372375","-1338.1171314372375"
"173800","-1134.3754997821059","-1134.3754997821059","-1134.3754997821059"
"176000","-1106.020295165562","-1106.020295165562","-1106.020295165562"
"178200","-1235.3189212784414","-1235.3189212784414","-1235.3189212784414"
"180400","-1277.8527708501806","-1277.8527708501806","-1277.8527708501806"
"182600","-1236.758962234171","-1236.758962234171","-1236.758962234171"
"184800","-1355.936761763204","-1355.936761763204","-1355.936761763204"
"187000","-1162.0342038551803","-1162.0342038551803","-1162.0342038551803"
"189200","-1246.1731294137737","-1246.1731294137737","-1246.1731294137737"
"191400","-1229.4990844616812","-1229.4990844616812","-1229.4990844616812"
"193600","-1177.182849726901","-1177.182849726901","-1177.182849726901"
"195800","-1241.7973696007505","-1241.7973696007505","-1241.7973696007505"
"198000","-1276.1981904085847","-1276.1981904085847","-1276.1981904085847"
"200200","-1224.3603945706852","-1224.3603945706852","-1224.3603945706852"
"202400","-1232.4827053421802","-1232.4827053421802","-1232.4827053421802"
"204600","-1127.674942571972","-1127.674942571972","-1127.674942571972"
"206800","-1274.8917347602342","-1274.8917347602342","-1274.8917347602342"
"209000","-1215.179385420907","-1215.179385420907","-1215.179385420907"
"211200","-1389.1991047646095","-1389.1991047646095","-1389.1991047646095"
"213400","-1243.6472298514143","-1243.6472298514143","-1243.6472298514143"
"215600","-1157.7528327045827","-1157.7528327045827","-1157.7528327045827"
"217800","-1404.942169757747","-1404.942169757747","-1404.942169757747"
"220000","-1172.7355055294347","-1172.7355055294347","-1172.7355055294347"
"222200","-1289.1904723732782","-1289.1904723732782","-1289.1904723732782"
"224400","-1282.020873031119","-1282.020873031119","-1282.020873031119"
"226600","-1233.8343705067418","-1233.8343705067418","-1233.8343705067418"
"228800","-1271.0596463520494","-1271.0596463520494","-1271.0596463520494"
"231000","-1312.0516642990553","-1312.0516642990553","-1312.0516642990553"
"233200","-1251.493984767665","-1251.493984767665","-1251.493984767665"
"235400","-1354.6091877343008","-1354.6091877343008","-1354.6091877343008"
"237600","-1326.1984265152632","-1326.1984265152632","-1326.1984265152632"
"239800","-1375.6171213145867","-1375.6171213145867","-1375.6171213145867"
"242000","-1175.9178093179685","-1175.9178093179685","-1175.9178093179685"
"244200","-1267.5601446085102","-1267.5601446085102","-1267.5601446085102"
"246400","-1178.9119029389105","-1178.9119029389105","-1178.9119029389105"
"248600","-1186.0694870252273","-1186.0694870252273","-1186.0694870252273"
"250800","-1195.8560189748227","-1195.8560189748227","-1195.8560189748227"
"253000","-1252.960791329336","-1252.960791329336","-1252.960791329336"
"255200","-1187.9085860645964","-1187.9085860645964","-1187.9085860645964"
"257400","-1263.2035509369657","-1263.2035509369657","-1263.2035509369657"
"259600","-1109.6285477895099","-1109.6285477895099","-1109.6285477895099"
"261800","-1161.0234983494734","-1161.0234983494734","-1161.0234983494734"
"264000","-1264.2927925396345","-1264.2927925396345","-1264.2927925396345"
"266200","-1310.190784381222","-1310.190784381222","-1310.190784381222"
"268400","-1264.2946721015624","-1264.2946721015624","-1264.2946721015624"
"270600","-1206.1363996800355","-1206.1363996800355","-1206.1363996800355"
"272800","-1134.7377196638424","-1134.7377196638424","-1134.7377196638424"
"275000","-1250.8564447487277","-1250.8564447487277","-1250.8564447487277"
"277200","-1327.9800616880332","-1327.9800616880332","-1327.9800616880332"
"279400","-1288.4416884523455","-1288.4416884523455","-1288.4416884523455"
"281600","-1176.9495437945864","-1176.9495437945864","-1176.9495437945864"
"283800","-1176.963754374023","-1176.963754374023","-1176.963754374023"
"286000","-1070.187864244814","-1070.187864244814","-1070.187864244814"
"288200","-1131.2411924790422","-1131.2411924790422","-1131.2411924790422"
"290400","-1096.0044583164274","-1096.0044583164274","-1096.0044583164274"
"292600","-1339.2429311339445","-1339.2429311339445","-1339.2429311339445"
"294800","-1267.803029486344","-1267.803029486344","-1267.803029486344"
"297000","-1111.2377481355704","-1111.2377481355704","-1111.2377481355704"
"299200","-1194.7142051814374","-1194.7142051814374","-1194.7142051814374"
"301400","-1220.9481854149042","-1220.9481854149042","-1220.9481854149042"
"303600","-1216.558890819161","-1216.558890819161","-1216.558890819161"
"305800","-1173.6724056971598","-1173.6724056971598","-1173.6724056971598"
"308000","-1300.9512469687609","-1300.9512469687609","-1300.9512469687609"
"310200","-1214.0966023899043","-1214.0966023899043","-1214.0966023899043"
"312400","-1247.0592905390693","-1247.0592905390693","-1247.0592905390693"
"314600","-1326.1121641016443","-1326.1121641016443","-1326.1121641016443"
"316800","-1399.4949786019627","-1399.4949786019627","-1399.4949786019627"
"319000","-1249.0702313582763","-1249.0702313582763","-1249.0702313582763"
"321200","-1272.102452874592","-1272.102452874592","-1272.102452874592"
"323400","-1229.1072523496662","-1229.1072523496662","-1229.1072523496662"
"325600","-1190.1165417315367","-1190.1165417315367","-1190.1165417315367"
"327800","-1267.0037033482006","-1267.0037033482006","-1267.0037033482006"
"330000","-1412.7435252179519","-1412.7435252179519","-1412.7435252179519"
"332200","-1365.0050390779857","-1365.0050390779857","-1365.0050390779857"
"334400","-1102.5040475668864","-1102.5040475668864","-1102.5040475668864"
"336600","-1308.6086407804576","-1308.6086407804576","-1308.6086407804576"
"338800","-1254.3044548796004","-1254.3044548796004","-1254.3044548796004"
"341000","-1372.071493332288","-1372.071493332288","-1372.071493332288"
"343200","-1350.2669617562012","-1350.2669617562012","-1350.2669617562012"
"345400","-1219.3088390055962","-1219.3088390055962","-1219.3088390055962"
"347600","-1046.989243303283","-1046.989243303283","-1046.989243303283"
"349800","-1250.6054950314779","-1250.6054950314779","-1250.6054950314779"
"352000","-1228.7732087007516","-1228.7732087007516","-1228.7732087007516"
"354200","-1324.913876563473","-1324.913876563473","-1324.913876563473"
"356400","-1264.139342360675","-1264.139342360675","-1264.139342360675"
"358600","-1117.2843703726535","-1117.2843703726535","-1117.2843703726535"
"360800","-1157.604940735685","-1157.604940735685","-1157.604940735685"
"363000","-1164.4745450382406","-1164.4745450382406","-1164.4745450382406"
"365200","-1177.8380214687395","-1177.8380214687395","-1177.8380214687395"
"367400","-1168.0651263361856","-1168.0651263361856","-1168.0651263361856"
"369600","-1404.6397858081675","-1404.6397858081675","-1404.6397858081675"
"371800","-1240.5608924386402","-1240.5608924386402","-1240.5608924386402"
"374000","-1333.551041548084","-1333.551041548084","-1333.551041548084"
"376200","-1307.3987409344559","-1307.3987409344559","-1307.3987409344559"
"378400","-1232.8921248702206","-1232.8921248702206","-1232.8921248702206"
"380600","-1075.3814060758928","-1075.3814060758928","-1075.3814060758928"
"382800","-1255.015468879902","-1255.015468879902","-1255.015468879902"
"385000","-1333.3633734077214","-1333.3633734077214","-1333.3633734077214"
"387200","-1191.6737488906092","-1191.6737488906092","-1191.6737488906092"
"389400","-1216.578853595059","-1216.578853595059","-1216.578853595059"
"391600","-1262.1109265057762","-1262.1109265057762","-1262.1109265057762"
"393800","-1172.6423738384508","-1172.6423738384508","-1172.6423738384508"
"396000","-1308.0527065089111","-1308.0527065089111","-1308.0527065089111"
"398200","-1194.0741336521844","-1194.0741336521844","-1194.0741336521844"
"400400","-1208.1798529107555","-1208.1798529107555","-1208.1798529107555"
"402600","-1202.9147828517423","-1202.9147828517423","-1202.9147828517423"
"404800","-1266.4113996491717","-1266.4113996491717","-1266.4113996491717"
"407000","-1184.985351862294","-1184.985351862294","-1184.985351862294"
"409200","-1407.8080456622458","-1407.8080456622458","-1407.8080456622458"
"411400","-1118.4651137750536","-1118.4651137750536","-1118.4651137750536"
"413600","-1265.467395621378","-1265.467395621378","-1265.467395621378"
"415800","-1348.1418033409857","-1348.1418033409857","-1348.1418033409857"
"418000","-1279.2991603971006","-1279.2991603971006","-1279.2991603971006"
"420200","-1224.0978790501465","-1224.0978790501465","-1224.0978790501465"
"422400","-1260.025682680279","-1260.025682680279","-1260.025682680279"
"424600","-1230.7821899427397","-1230.7821899427397","-1230.7821899427397"
"426800","-1120.9930078385312","-1120.9930078385312","-1120.9930078385312"
"429000","-1140.5022161418497","-1140.5022161418497","-1140.5022161418497"
"431200","-1344.9015678890667","-1344.9015678890667","-1344.9015678890667"
"433400","-1344.3655060052574","-1344.3655060052574","-1344.3655060052574"
"435600","-1435.1054514320176","-1435.1054514320176","-1435.1054514320176"
"437800","-1181.7058112912719","-1181.7058112912719","-1181.7058112912719"
"440000","-1169.319860892976","-1169.319860892976","-1169.319860892976"
"442200","-1152.9663530682328","-1152.9663530682328","-1152.9663530682328"
"444400","-1236.962940344544","-1236.962940344544","-1236.962940344544"
"446600","-1303.4777583180794","-1303.4777583180794","-1303.4777583180794"
"448800","-1264.062017673371","-1264.062017673371","-1264.062017673371"
"451000","-1390.4283576594246","-1390.4283576594246","-1390.4283576594246"
"453200","-1082.458025407237","-1082.458025407237","-1082.458025407237"
"455400","-1139.0454675099909","-1139.0454675099909","-1139.0454675099909"
"457600","-1168.2412332228998","-1168.2412332228998","-1168.2412332228998"
"459800","-1285.5404475890334","-1285.5404475890334","-1285.5404475890334"
"462000","-1230.3002375226984","-1230.3002375226984","-1230.3002375226984"
"464200","-1270.1864088365967","-1270.1864088365967","-1270.1864088365967"
"466400","-1153.745741882278","-1153.745741882278","-1153.745741882278"
"468600","-1161.1922108871017","-1161.1922108871017","-1161.1922108871017"
"470800","-1311.1677802364247","-1311.1677802364247","-1311.1677802364247"
"473000","-1284.0422090088987","-1284.0422090088987","-1284.0422090088987"
"475200","-1351.4926811831394","-1351.4926811831394","-1351.4926811831394"
"477400","-1105.963845834452","-1105.963845834452","-1105.963845834452"
"479600","-1295.8814203918103","-1295.8814203918103","-1295.8814203918103"
"481800","-1161.2630912495758","-1161.2630912495758","-1161.2630912495758"
"484000","-1155.0793931104288","-1155.0793931104288","-1155.0793931104288"
"486200","-1078.7416233092447","-1078.7416233092447","-1078.7416233092447"
"488400","-1277.7748899039625","-1277.7748899039625","-1277.7748899039625"
"490600","-1283.3524800327114","-1283.3524800327114","-1283.3524800327114"
"492800","-1170.8761858514538","-1170.8761858514538","-1170.8761858514538"
"495000","-1233.469765582403","-1233.469765582403","-1233.469765582403"
"497200","-1130.727405087155","-1130.727405087155","-1130.727405087155"
